pa_id,pred_improved_traffic,lng,lat
2.0,3139.531816710344,100.765343,14.038854800000001
3.0,81497.76086588945,100.71657246666668,13.940436666666667
4.0,2145317.7455677446,100.7197484,13.921862400000004
5.0,25875.585300609808,100.73664959999998,13.940515333333332
7.0,137195.54244433326,100.71142478571429,13.869242999999997
8.0,55170.61522921058,100.7118767,13.884193400000001
10.0,3568.5680641675795,100.62918014285715,13.765308285714285
11.0,132079.88524663143,100.6134246923077,13.762057076923078
13.0,95774.3937085577,100.6801246956522,13.772286086956523
14.0,315649.79649002413,100.7174454,13.858854399999998
15.0,21939.527629778262,100.68617033333332,13.846239333333335
16.0,173279.2000474286,100.76254300000001,14.0272215
17.0,5336.343797691201,100.65792642857143,13.869665285714287
18.0,1711.9793388225612,100.66921828571428,13.87450257142857
19.0,237567.47617482083,100.62640983333334,13.8727655
20.0,954968.7871052101,100.68578266666667,13.852703
21.0,303561.8102377559,100.68940239999998,13.8500106
22.0,8605.307080980623,100.6806292,13.9302608
23.0,9975.828728363205,100.6795785,13.917755833333333
24.0,312831.50299507036,100.6491778,13.9681388
25.0,296136.77644701273,100.6316668,13.978093800000002
30.0,1156.289883029741,100.694507,14.0154762
31.0,55694.50325947781,100.6918852,13.9191178
32.0,191029.9400346289,100.6504492,13.9829476
33.0,164056.75089730034,100.60228720000002,13.755045466666664
34.0,1874961.8640019752,100.66297392857142,13.754282642857143
35.0,308713.37441102916,100.83117719999998,14.048812799999999
36.0,9138.613123691332,100.7291158,14.0283612
38.0,54750.2913638958,100.7170916,13.884065999999999
39.0,591830.8154421665,100.7162276,13.8351176
40.0,5634.749129476787,100.70436228571428,13.831222714285712
41.0,88796.23612258623,100.64134379999999,13.873628399999998
42.0,205400.0906796888,100.6310298,13.7596754
43.0,9164.69386088445,100.644954,13.761124
44.0,5514.694763238587,100.6503602,13.758937
45.0,-6626.084611244078,100.61943057142857,13.760698285714286
46.0,155887.53896595197,100.61360416666666,13.752820333333334
47.0,-31369.333416800757,100.62272660000001,13.7523352
48.0,200762.25632863244,100.6344498,13.759431799999998
49.0,32097.74574973157,100.6405442,13.754361800000002
50.0,90809.96495293362,100.61710542857143,13.774486857142858
51.0,503100.9351533294,100.621497,13.770236500000001
52.0,-26412.31423755578,100.616501,13.768388571428574
53.0,2884.426989821948,100.6111546,13.7790492
54.0,62054.71922851805,100.5968106,13.7786696
55.0,158263.74808526106,100.6045044,13.7925272
56.0,268308.9037010296,100.62478333333333,13.775912166666666
57.0,316596.59383228625,100.64022500000002,13.7827922
58.0,-1009.8739672511676,100.63141566666667,13.778071000000002
59.0,212155.30790536533,100.65155825,13.8576605
60.0,99997.72525324817,100.7754806857143,13.621190028571425
62.0,122397.91321856753,100.810632,13.567695615384615
63.0,1906.48943732226,100.80794626666668,13.55706493333333
65.0,39858.27798321388,100.71575889743589,13.538724820512824
67.0,-7302.288985308296,100.61205017647059,13.712142470588235
68.0,1795384.1139628873,100.61826634782605,13.71569830434783
69.0,451156.07071065414,100.60821922857144,13.73418694285714
70.0,377386.6941518483,100.58478166666666,13.706986666666667
72.0,71356.08588492792,100.7142774,13.595037733333335
73.0,426864.3908858243,100.77649068421051,13.59832836842105
75.0,726.1013202701974,100.79256914285713,13.708308285714285
76.0,678119.4946958253,100.69917957142857,13.728806142857142
77.0,2531537.021520606,100.69232683333331,13.729258458333334
79.0,115131.21911170574,100.6354935,13.725947000000001
80.0,404463.1034797148,100.626389,13.731062857142858
81.0,568849.3446146584,100.78087239999999,13.694512600000001
82.0,75481.47869806181,100.72363322222222,13.714591611111109
83.0,722515.7282285705,100.6876384,13.7226256
84.0,21546.973920360117,100.7215377857143,13.690417642857142
85.0,44560.270611928856,100.70346083333334,13.677117916666667
88.0,31176.668624326925,100.6395312857143,13.70297657142857
89.0,355349.1629110479,100.65218172727272,13.728663454545456
90.0,911211.3504115747,100.66754135483869,13.731076838709678
91.0,22734.55353084165,100.65168157142857,13.70183161904762
93.0,136253.15406285724,100.63218071052634,13.679905552631581
94.0,439236.1713463238,100.63206975,13.690806928571428
95.0,120651.71050064298,100.67005099999997,13.696696812499997
96.0,104210.03462515911,100.68054285714285,13.702861714285715
97.0,1351.9195276992423,100.69493993750001,13.6945555
98.0,98636.76814224213,100.66316692307693,13.666843153846154
99.0,37637.946195905795,100.65311899999999,13.6328394
100.0,1759.467303363622,100.66217520000001,13.622637666666666
101.0,123019.15216062445,100.66386491666668,13.639498166666666
102.0,191438.67820954934,100.67978904347825,13.582904608695653
103.0,258868.07110061226,100.68943385185186,13.630834
104.0,59144.81342583181,100.66060263636363,13.657010727272727
106.0,4166.134238056344,100.72280572727273,13.615688636363638
108.0,222479.24372430486,100.64893425000001,13.622115125
